entropy_10m,standard_deviation_10m,turbulence_intensity_10m,variability_index_10m,entropy_era5,standard_deviation_era5,turbulence_intensity_era5,variability_index_era5
0.442164908,0.335306659,0.140197906,0.459930314,0.738264722,0.291090727,0.08813872,0.313503154
0.821695271,0.466294494,0.185898137,0.677740864,0.673282376,0.359493567,0.105514464,0.339219118
0.703828658,0.548229473,0.205586053,0.675,0.633820981,0.427900665,0.121633947,0.37862779
0.617969406,0.688395881,0.240138098,0.802325581,0.501529299,0.445517434,0.123107665,0.361437455
0.530250118,0.722072634,0.239361094,0.762430939,0.263261081,0.423457416,0.114508761,0.330775868
0.504973333,0.691616464,0.223102085,0.741935484,0.134306098,0.400984034,0.106775988,0.325725205
0.451117774,0.638139657,0.197362781,0.649484536,0.26580438,0.38065476,0.099716548,0.320435641
0.3854219,0.611634877,0.184877041,0.634760705,0.514479716,0.356207285,0.091847959,0.315407166
0.38713658,0.608047878,0.183331019,0.633165829,0.618523722,0.428382315,0.111358413,0.41576731
0.401438042,0.602944165,0.181336591,0.631578947,0.568387829,0.569344288,0.151018863,0.51414078
0.397713031,0.614862225,0.185385595,0.633165829,0.450752047,0.63859272,0.172581265,0.523836204
0.392727431,0.629097678,0.19015547,0.664987406,0.404457112,0.669091694,0.183694297,0.532152198
0.425374138,0.658069567,0.200427279,0.670050761,0.377333893,0.66345314,0.184473046,0.538950016
0.465769757,0.692619825,0.217576908,0.691099476,0.364806532,0.638910261,0.180019022,0.546140471
0.578429831,0.714726055,0.234336411,0.721311475,0.474550822,0.589171035,0.169817341,0.524056148
0.553397886,0.630420935,0.220555429,0.664723032,0.526694032,0.543520058,0.160807071,0.483024351
0.415442178,0.549936865,0.203053612,0.590769231,0.533277623,0.516528164,0.156712073,0.495322332
